#### Nbr journees max, nbr equipes, nbr matchs
38, 159, 58715
#### Equipe 1, Equipe 2, Score 1, Score 2, Annee, journee, ID team 1, ID team 2
StadedeReims,AngersSCO,2,1,2016,24,134,9
StadeRennaisFC,ASSaint-Etienne,0,1,2016,24,138,24
USCréteil-Lusitanos,FCSochaux-Montbéliard,1,1,2016,24,147,69
AngersSCO,ASMonaco,3,0,2016,23,9,20
ASNancyLorraine,ClermontFoot,3,1,2016,23,21,34
ASSaint-Etienne,ParisSaint-Germain,0,2,2016,23,24,101
ESTACTroyes,FCNantes,0,1,2016,23,49,65
EvianTGFC,FCMetz,0,1,2016,23,51,61
FCLorient,StadedeReims,2,0,2016,23,59,134
FCSochaux-Montbéliard,FBBP01,1,1,2016,23,69,53
GazélecFCAjaccio,MontpellierHéraultSC,0,4,2016,23,72,88
GirondinsdeBordeaux,StadeRennaisFC,4,0,2016,23,74,138
HavreAC,RCLens,2,0,2016,23,77,106
NîmesOlympique,AJAuxerre,2,1,2016,23,90,6
OlympiquedeMarseille,LOSC,1,1,2016,23,94,84
SCBastia,OlympiqueLyonnais,1,0,2016,23,118,96
